"GEOID","SUFFIX","COUNT","TOTAL_ROADS","PCT"
27025,"ST",699,2070,33.77
27027,"ST",166,446,37.22
27029,"ST",216,745,28.99
27031,"RD",350,687,50.95
27033,"ST",231,469,49.25
27035,"RD",1043,3543,29.44
27037,"CT",1279,6658,19.21
27039,"ST",259,514,50.39
27041,"ST",199,677,29.39
27043,"ST",471,775,60.77
27045,"ST",488,1274,38.3
27047,"ST",548,1350,40.59
27049,"ST",612,1972,31.03
27051,"ST",283,559,50.63
27053,"RD",1603,9667,16.58
27055,"RD",295,906,32.56
27057,"DR",553,1683,32.86
27059,"ST",52,223,23.32
27061,"RD",1201,2490,48.23
27063,"ST",296,635,46.61
27065,"ST",280,812,34.48
27067,"ST",100,364,27.47
27069,"ST",166,336,49.4
27071,"RD",157,394,39.85
27073,"ST",343,616,55.68
27075,"RD",577,919,62.79
27077,"RD",38,100,38
27079,"ST",431,1296,33.26
27081,"ST",252,425,59.29
27083,"ST",601,1175,51.15
27085,"ST",269,691,38.93
27087,"AVE",168,413,40.68
27089,"ST",158,353,44.76
27091,"ST",489,911,53.68
27093,"ST",510,1084,47.05
27095,"ST",363,1061,34.21
27097,"ST",455,1720,26.45
27099,"ST",537,1023,52.49
27101,"ST",293,656,44.66
27103,"ST",278,985,28.22
27105,"AVE",341,760,44.87
27107,"ST",229,438,52.28
27109,"ST",61,305,20
27111,"AVE",1235,4713,26.2
27113,"AVE",101,323,31.27
27115,"RD",954,1932,49.38
27117,"ST",173,334,51.8
27119,"ST",282,672,41.96
27121,"ST",420,901,46.61
27123,"ST",1796,6123,29.33
27125,"ST",36,94,38.3
27127,"ST",487,814,59.83
27129,"ST",320,696,45.98
27131,"AVE",395,1511,26.14
27133,"ST",398,676,58.88
27135,"AVE",442,982,45.01
27137,"RD",3326,6516,51.04
27139,"ST",380,2260,16.81
27141,"ST",553,1478,37.42
27143,"ST",382,830,46.02
27145,"ST",923,3469,26.61
27147,"ST",211,462,45.67
27149,"ST",252,545,46.24
27151,"ST",179,393,45.55
27153,"AVE",411,1324,31.04
27155,"ST",156,295,52.88
27157,"ST",472,1099,42.95
27159,"AVE",255,665,38.35
27161,"ST",301,640,47.03
27163,"DR",365,2382,15.32
27165,"ST",181,407,44.47
27167,"AVE",242,498,48.59
27169,"ST",395,1411,27.99
27171,"ST",279,1358,20.54
27173,"ST",250,518,48.26
28001,"RD",419,1194,35.09
28003,"ST",221,619,35.7
